1, 108, 215
108, 216, 58
192, 59, 123
123, 59, 108
188, 77, 123
21, 123, 77
123, 108, 26
15, 145, 191
124, 26, 108
124, 193, 17
26, 124, 186
124, 108, 58
188, 186, 76
186, 188, 26
187, 76, 189
195, 188, 76
124, 78, 186
26, 188, 123
121, 210, 29
195, 76, 187
21, 125, 194
21, 77, 125
109, 53, 82
188, 195, 77
9, 109, 167
109, 9, 53
41, 167, 109
9, 167, 161
82, 53, 125
123, 21, 192
195, 82, 125
125, 77, 195
126, 24, 67
82, 24, 126
41, 126, 154
126, 41, 82
67, 154, 126
167, 41, 118
160, 24, 187
82, 41, 109
24, 195, 187
154, 90, 41
76, 186, 25
51, 191, 145
78, 17, 166
166, 17, 143
127, 166, 42
78, 166, 127
25, 189, 76
25, 78, 127
129, 189, 25
92, 187, 189
127, 96, 25
17, 78, 124
143, 146, 42
146, 143, 8
146, 66, 217
143, 42, 166
96, 66, 152
66, 96, 217
147, 152, 28
25, 96, 129
146, 130, 66
42, 96, 127
107, 210, 142
152, 49, 96
92, 196, 160
129, 92, 189
128, 160, 20
160, 67, 24
67, 128, 23
128, 67, 160
128, 54, 197
67, 23, 154
92, 129, 196
187, 92, 160
49, 147, 97
147, 49, 152
97, 221, 153
97, 20, 196
20, 153, 54
153, 20, 97
54, 153, 155
20, 54, 128
153, 5, 155
49, 196, 129
129, 96, 49
23, 197, 120
152, 66, 158
186, 78, 25
139, 31, 209
90, 154, 23
161, 68, 38
161, 167, 68
38, 68, 131
125, 53, 194
198, 55, 111
198, 38, 131
104, 55, 131
110, 198, 111
131, 68, 199
82, 195, 24
118, 90, 22
90, 118, 41
104, 22, 218
104, 131, 199
149, 104, 168
149, 55, 104
61, 168, 104
149, 168, 6
6, 168, 162
118, 22, 199
167, 118, 68
111, 55, 149
200, 111, 43
37, 110, 111
111, 149, 43
200, 43, 69
69, 231, 4
232, 37, 200
4, 231, 70
4, 70, 233
43, 172, 70
196, 20, 160
43, 156, 98
43, 98, 172
106, 156, 6
173, 98, 50
98, 36, 172
36, 98, 173
36, 173, 100
36, 233, 172
50, 98, 156
156, 43, 6
6, 43, 149
128, 197, 23
90, 93, 22
97, 196, 49
93, 120, 174
90, 23, 93
11, 162, 174
174, 61, 218
174, 162, 61
162, 11, 219
60, 106, 6
60, 6, 162
174, 120, 11
93, 218, 22
72, 84, 179
84, 11, 120
5, 84, 155
84, 72, 11
11, 175, 105
175, 11, 72
119, 105, 18
11, 105, 219
105, 175, 18
120, 197, 84
120, 93, 23
219, 220, 60
50, 106, 178
106, 220, 178
112, 178, 13
50, 178, 112
50, 177, 100
177, 50, 112
100, 177, 12
173, 50, 100
112, 12, 177
156, 106, 50
13, 119, 169
106, 60, 220
169, 81, 191
169, 51, 112
176, 12, 112
112, 51, 176
176, 51, 145
12, 176, 99
81, 169, 119
13, 169, 112
119, 13, 220
38, 198, 110
72, 144, 175
61, 162, 168
84, 197, 155
155, 197, 54
147, 85, 221
124, 58, 193
130, 158, 66
88, 130, 44
158, 130, 88
158, 28, 152
158, 180, 28
180, 158, 88
180, 88, 30
85, 28, 180
201, 148, 44
85, 147, 28
202, 44, 148
132, 202, 19
44, 132, 181
44, 130, 201
30, 190, 180
181, 132, 205
86, 164, 190
88, 181, 30
190, 30, 163
181, 88, 44
71, 208, 138
62, 180, 190
221, 134, 0
153, 221, 0
85, 62, 203
0, 134, 157
87, 5, 157
157, 5, 0
56, 157, 134
56, 87, 157
134, 27, 56
0, 5, 153
190, 164, 62
135, 164, 86
164, 135, 27
164, 27, 203
33, 204, 136
136, 27, 135
182, 33, 136
136, 56, 27
136, 135, 71
203, 134, 85
85, 180, 62
33, 122, 204
181, 205, 30
8, 130, 146
19, 63, 133
80, 207, 137
133, 206, 222
19, 133, 79
79, 222, 163
30, 205, 163
225, 222, 35
32, 163, 94
133, 63, 206
163, 86, 190
207, 113, 64
35, 206, 113
2, 113, 223
64, 113, 224
80, 225, 207
137, 207, 64
137, 64, 31
80, 137, 139
113, 206, 63
225, 94, 222
206, 35, 222
32, 94, 226
32, 138, 208
86, 163, 32
34, 138, 83
208, 71, 135
71, 34, 182
34, 71, 138
91, 182, 34
182, 136, 71
138, 32, 83
86, 32, 208
139, 209, 227
139, 83, 32
32, 226, 139
209, 48, 227
101, 48, 10
48, 101, 227
136, 204, 56
34, 101, 183
132, 79, 205
227, 34, 83
31, 139, 137
91, 230, 182
163, 205, 79
132, 19, 79
113, 207, 35
101, 10, 183
179, 87, 144
179, 5, 87
103, 144, 16
144, 18, 175
18, 103, 184
103, 18, 144
184, 103, 46
184, 81, 119
144, 87, 16
72, 179, 144
16, 122, 95
122, 16, 87
122, 33, 95
16, 95, 228
102, 46, 229
16, 228, 102
114, 102, 7
46, 102, 114
185, 65, 228
229, 16, 102
87, 56, 204
184, 46, 140
140, 15, 191
81, 184, 140
52, 15, 141
140, 191, 81
99, 145, 52
99, 176, 145
52, 145, 15
118, 199, 68
15, 140, 170
191, 51, 169
170, 114, 47
170, 140, 46
47, 114, 150
170, 47, 141
141, 159, 89
159, 141, 47
89, 159, 14
141, 89, 52
47, 116, 159
170, 141, 15
114, 170, 46
104, 199, 22
65, 171, 102
119, 18, 184
91, 121, 29
91, 34, 121
29, 210, 107
29, 185, 230
107, 171, 65
107, 185, 29
151, 171, 107
171, 7, 102
121, 73, 210
185, 95, 230
73, 183, 165
142, 210, 73
165, 183, 10
73, 165, 40
117, 211, 115
57, 107, 142
40, 142, 73
211, 40, 115
27, 134, 203
73, 121, 183
34, 183, 121
151, 107, 57
7, 151, 45
150, 114, 7
7, 171, 151
7, 45, 150
212, 116, 45
14, 159, 116
45, 116, 150
212, 45, 75
151, 117, 45
116, 47, 150
117, 115, 39
117, 151, 57
130, 8, 201
117, 39, 214
234, 3, 75
234, 74, 3
3, 74, 235
213, 14, 212
164, 203, 62
45, 117, 214
117, 57, 211
37, 111, 200
44, 202, 132
185, 107, 65
230, 33, 182
232, 200, 69
87, 204, 122
84, 5, 179
86, 208, 135
131, 55, 198
57, 142, 211
40, 211, 142
213, 212, 75
14, 116, 212
75, 3, 213
235, 214, 39
45, 214, 74
108, 59, 215
108, 1, 216
